Year,Gender,Discipline,Event,Class,TeamID,Name,Fname,Ctry,Medal,G
1988PG,m,NULL,100 m,B2,1,Riberio,Elmo,BRA,NULL,m
1988PG,m,NULL,100 m,B2,2,Asbury,Andre,USA,S,m
1988PG,m,NULL,100 m,B2,3,Miguel,Anghuerta San,MEX,NULL,m
1988PG,m,NULL,100 m,B2,4,Osmon,James,USA,NULL,m
1988PG,m,NULL,100 m,B2,5,Zhang,Yang,CHN,NULL,m
1988PG,m,NULL,100 m,B2,6,Collins,Darren,AUS,NULL,m
1988PG,m,NULL,100 m,B2,7,Prall,Kurt,AUT,NULL,m
1988PG,m,NULL,100 m,B2,8,Lee,Jae Woon,KOR,NULL,m
1988PG,m,NULL,100 m,B2,9,Mokhir,Alexandre,URS,G,m
1988PG,m,NULL,100 m,B2,10,Paz,Marcelino,ESP,B,m
1988PG,f,NULL,100 m,B2,1,Yo,Choon Ja,KOR,NULL,f
1988PG,f,NULL,100 m,B2,2,Rauh,Christine,FRG,NULL,f
1988PG,f,NULL,100 m,B2,3,Vance,Amanda,USA,NULL,f
1988PG,f,NULL,100 m,B2,4,Jouravliova,Raissa,URS,G,f
1988PG,f,NULL,100 m,B2,5,Santos,Adria,BRA,S,f
1988PG,f,NULL,100 m,B2,6,Batalova,Rimma,URS,B,f
1988PG,f,NULL,100 m,B2,7,Toppan,Susy,ITA,NULL,f
