Year;Gender;Event;Class;ID;MatchNr;TeamID1;Result1;Result2;Note1;Note2;r1;r2;r3
2000PG;f;Shot Put;F58;1;1;1;9.00;NULL;WR;1;;9;0
2000PG;f;Shot Put;F58;1;2;2;8.95;NULL;NULL;NULL;;8;95
2000PG;f;Shot Put;F58;1;3;3;8.24;NULL;NULL;NULL;;8;24
2000PG;f;Shot Put;F58;1;4;4;7.86;NULL;NULL;NULL;;7;86
2000PG;f;Shot Put;F58;1;5;5;7.67;NULL;NULL;NULL;;7;67
2000PG;f;Shot Put;F58;1;6;6;7.64;NULL;NULL;NULL;;7;64
2000PG;f;Shot Put;F58;1;7;7;5.34;NULL;NULL;NULL;;5;34
2000PG;f;Shot Put;F58;1;8;8;4.90;NULL;NULL;NULL;;4;90
2000PG;f;Discus;F58;1;1;1;31.58;NULL;WR;1;;31;58
2000PG;f;Discus;F58;1;2;2;30.82;NULL;NULL;NULL;;30;82
2000PG;f;Discus;F58;1;3;3;27.99;NULL;NULL;NULL;;27;99
2000PG;f;Discus;F58;1;4;4;27.11;NULL;NULL;NULL;;27;11
2000PG;f;Discus;F58;1;5;5;23.96;NULL;NULL;NULL;;23;96
2000PG;f;Discus;F58;1;6;6;23.09;NULL;NULL;NULL;;23;9
2000PG;f;Discus;F58;1;7;7;22.21;NULL;NULL;NULL;;22;21
2000PG;f;Discus;F58;1;8;8;21.82;NULL;NULL;NULL;;21;82
2000PG;f;Discus;F58;1;9;9;21.11;NULL;NULL;NULL;;21;11
2000PG;f;Discus;F58;1;10;10;20.94;NULL;NULL;NULL;;20;94
2000PG;f;Discus;F58;1;11;11;20.85;NULL;NULL;NULL;;20;85
2000PG;f;Discus;F58;1;12;12;20.16;NULL;NULL;NULL;;20;16
2000PG;f;Discus;F58;1;13;13;19.86;NULL;NULL;NULL;;19;86
2000PG;f;Discus;F58;1;14;14;19.09;NULL;NULL;NULL;;19;9
2000PG;f;Discus;F58;1;15;15;17.42;NULL;NULL;NULL;;17;42
